,ticker,open,high,low,close,volume,value
2022-03-11 09:00:00,KRW-ETH,3235000.0,3325000.0,3155000.0,3193000.0,49198.13050214,158773941843.87628
2022-03-12 09:00:00,KRW-ETH,3193000.0,3251000.0,3190000.0,3210000.0,21787.82842157,70154627051.1325
2022-03-13 09:00:00,KRW-ETH,3207000.0,3241000.0,3135000.0,3154000.0,28798.84373267,92001125221.55122
2022-03-14 09:00:00,KRW-ETH,3154000.0,3245000.0,3134000.0,3210000.0,39914.06359074,127528302108.98364
2022-03-15 09:00:00,KRW-ETH,3211000.0,3291000.0,3144000.0,3235000.0,39597.05525928,126568306321.11546
2022-03-16 09:00:00,KRW-ETH,3236000.0,3426000.0,3221000.0,3396000.0,69660.86794033,231232664921.51593
2022-03-17 09:00:00,KRW-ETH,3396000.0,3463000.0,3360000.0,3440000.0,36843.21317396,125530163693.73878
2022-03-18 09:00:00,KRW-ETH,3436000.0,3618000.0,3386000.0,3575000.0,51271.625161,178981052020.64108
2022-03-19 09:00:00,KRW-ETH,3575000.0,3631000.0,3524000.0,3580000.0,37087.05286837,133075391240.04784
2022-03-20 09:00:00,KRW-ETH,3580000.0,3597000.0,3455000.0,3503000.0,37091.37202412,130958880907.52402
2022-03-21 09:00:00,KRW-ETH,3504000.0,3610000.0,3470000.0,3533000.0,37449.33115047,132538152305.66235
2022-03-22 09:00:00,KRW-ETH,3532000.0,3692000.0,3532000.0,3626000.0,52824.64437649,192362308191.3957
2022-03-23 09:00:00,KRW-ETH,3626000.0,3700000.0,3578000.0,3689000.0,43065.59326015,156345895926.0959
2022-03-24 09:00:00,KRW-ETH,3688000.0,3770000.0,3650000.0,3735000.0,47114.65382643,174706418801.67456
2022-03-25 09:00:00,KRW-ETH,3738000.0,3843000.0,3710000.0,3770000.0,39130.86488684,148117654372.2317
2022-03-26 09:00:00,KRW-ETH,3770000.0,3816000.0,3737000.0,3810000.0,20494.74821835,77593715867.82774
2022-03-27 09:00:00,KRW-ETH,3810000.0,3940000.0,3780000.0,3931000.0,31376.80514549,120637677099.78406
2022-03-28 09:00:00,KRW-ETH,3931000.0,4101000.0,3905000.0,4025000.0,50651.35727207,203023839277.12424
2022-03-29 09:00:00,KRW-ETH,4026000.0,4202000.0,4020000.0,4086000.0,56433.99849142,231788267856.3865
2022-03-30 09:00:00,KRW-ETH,4086000.0,4116000.0,4007000.0,4066000.0,41753.07299914,169837984166.8185
2022-03-31 09:00:00,KRW-ETH,4066000.0,4141000.0,3965000.0,3990000.0,43688.57812174,177715321984.13095
2022-04-01 09:00:00,KRW-ETH,3990000.0,4220000.0,3926000.0,4205000.0,48847.2981487,198586606924.4001
2022-04-02 09:00:00,KRW-ETH,4205000.0,4300000.0,4188000.0,4210000.0,35242.09886732,149388443461.36862
2022-04-03 09:00:00,KRW-ETH,4211000.0,4348000.0,4180000.0,4300000.0,28025.43768065,119391029297.79343
2022-04-04 09:00:00,KRW-ETH,4300000.0,4337000.0,4190000.0,4313000.0,34779.52077611,148307388573.42432
2022-04-05 09:00:00,KRW-ETH,4309000.0,4344000.0,4209000.0,4213000.0,31142.12730041,133239801859.97012
2022-04-06 09:00:00,KRW-ETH,4213000.0,4215000.0,3891000.0,3898000.0,73360.04460645,296397301859.45416
2022-04-07 09:00:00,KRW-ETH,3899000.0,4050000.0,3875000.0,3995000.0,46952.59373046,186092447943.1356
2022-04-08 09:00:00,KRW-ETH,3995000.0,4120000.0,3983000.0,4004000.0,42130.80023532,170766363101.72488
2022-04-09 09:00:00,KRW-ETH,4004000.0,4077000.0,3983000.0,4061000.0,18781.5411496,75482588916.85144
2022-04-10 09:00:00,KRW-ETH,4061000.0,4110000.0,4008000.0,4016000.0,16300.75696583,66122079666.73279
2022-04-11 09:00:00,KRW-ETH,4016000.0,4027000.0,3760000.0,3774000.0,69912.8622571,269996348769.3111
2022-04-12 09:00:00,KRW-ETH,3774000.0,3886000.0,3713000.0,3822000.0,63144.91290791,240017444346.27057
2022-04-13 09:00:00,KRW-ETH,3821000.0,3929000.0,3781000.0,3912000.0,39485.10327985,152039281101.7627
2022-04-14 09:00:00,KRW-ETH,3912000.0,3932000.0,3751000.0,3797000.0,41424.23365776,159685630375.86835
2022-04-15 09:00:00,KRW-ETH,3796000.0,3830000.0,3766000.0,3813000.0,22385.16635451,85013215828.36325
2022-04-16 09:00:00,KRW-ETH,3813000.0,3861000.0,3781000.0,3827000.0,14300.73188653,54473789379.96599
2022-04-17 09:00:00,KRW-ETH,3823000.0,3845000.0,3756000.0,3766000.0,16250.6855719,61860932625.41913
2022-04-18 09:00:00,KRW-ETH,3766000.0,3838000.0,3635000.0,3808000.0,42857.78374517,159157936362.1561
