,open,high,low,close,volume,value
2022-06-06 18:17:00+00:00,39548000.0,39548000.0,39512000.0,39513000.0,1.95801452,77395918.21557
2022-06-06 18:18:00+00:00,39534000.0,39538000.0,39514000.0,39514000.0,0.71286245,28176963.87259
2022-06-06 18:19:00+00:00,39514000.0,39538000.0,39514000.0,39536000.0,0.34759813,13736751.45706
2022-06-06 18:20:00+00:00,39514000.0,39538000.0,39513000.0,39537000.0,1.8449762,72923787.11187
2022-06-06 18:21:00+00:00,39537000.0,39539000.0,39504000.0,39537000.0,1.71565393,67811489.76403
2022-06-06 18:22:00+00:00,39537000.0,39550000.0,39516000.0,39550000.0,3.91799414,154929120.15647
2022-06-06 18:23:00+00:00,39553000.0,39601000.0,39550000.0,39599000.0,5.41956209,214462198.70436
2022-06-06 18:24:00+00:00,39598000.0,39610000.0,39565000.0,39571000.0,1.94472454,76988210.61648
2022-06-06 18:25:00+00:00,39571000.0,39587000.0,39514000.0,39515000.0,1.18072676,46710872.99846
2022-06-06 18:26:00+00:00,39537000.0,39548000.0,39489000.0,39493000.0,2.65587763,104923873.20017
2022-06-06 18:27:00+00:00,39493000.0,39503000.0,39468000.0,39502000.0,3.9843986,157366334.19948
2022-06-06 18:28:00+00:00,39480000.0,39503000.0,39475000.0,39503000.0,2.05014283,80972674.87764
2022-06-06 18:29:00+00:00,39476000.0,39525000.0,39476000.0,39493000.0,2.6461516,104531356.94428
2022-06-06 18:30:00+00:00,39489000.0,39506000.0,39478000.0,39483000.0,0.70025294,27651359.48783
2022-06-06 18:31:00+00:00,39505000.0,39516000.0,39476000.0,39495000.0,1.59604783,63035010.95955
2022-06-06 18:32:00+00:00,39495000.0,39508000.0,39476000.0,39495000.0,1.20730322,47675404.78416
2022-06-06 18:33:00+00:00,39495000.0,39511000.0,39476000.0,39500000.0,0.33966438,13414316.41254
2022-06-06 18:34:00+00:00,39500000.0,39543000.0,39500000.0,39530000.0,4.50418763,178024725.81129
2022-06-06 18:35:00+00:00,39530000.0,39550000.0,39501000.0,39520000.0,9.60212941,379574474.35071
2022-06-06 18:36:00+00:00,39520000.0,39524000.0,39491000.0,39491000.0,1.91857768,75800483.44226
2022-06-06 18:37:00+00:00,39500000.0,39523000.0,39491000.0,39523000.0,6.85486355,270839424.95301
2022-06-06 18:38:00+00:00,39500000.0,39534000.0,39500000.0,39533000.0,2.07002623,81812486.67519
2022-06-06 18:39:00+00:00,39533000.0,39533000.0,39500000.0,39528000.0,2.450332,96806522.52534
2022-06-06 18:40:00+00:00,39527000.0,39529000.0,39489000.0,39500000.0,4.0006392,158102000.58656
2022-06-06 18:41:00+00:00,39477000.0,39522000.0,39477000.0,39519000.0,3.90168055,154192597.9423
2022-06-06 18:42:00+00:00,39500000.0,39521000.0,39476000.0,39520000.0,2.20071246,86951794.63662
2022-06-06 18:43:00+00:00,39500000.0,39520000.0,39480000.0,39520000.0,1.15437291,45604486.14654
2022-06-06 18:44:00+00:00,39520000.0,39521000.0,39502000.0,39520000.0,1.90074305,75115208.56462
2022-06-06 18:45:00+00:00,39520000.0,39530000.0,39503000.0,39527000.0,2.10282922,83108880.22899
2022-06-06 18:46:00+00:00,39527000.0,39534000.0,39527000.0,39528000.0,1.33475805,52761767.54125
2022-06-06 18:47:00+00:00,39528000.0,39530000.0,39505000.0,39528000.0,2.52313209,99734563.77118
2022-06-06 18:48:00+00:00,39505000.0,39528000.0,39504000.0,39528000.0,0.54703449,21617257.44756
2022-06-06 18:49:00+00:00,39528000.0,39528000.0,39508000.0,39528000.0,0.88606329,35023608.27756
2022-06-06 18:50:00+00:00,39528000.0,39551000.0,39515000.0,39551000.0,3.87597483,153252628.65128
2022-06-06 18:51:00+00:00,39551000.0,39551000.0,39523000.0,39549000.0,1.09387157,43262328.54329
